Stat ID	Income	Asian	Black	Latino	Age	Population	Female	% College	 % Eng - Good	% Full-time
188-White	24874	0	0	0	36	36547	0.494103483186034	0.30139712283902	0.988698580002928	0.434074074074074
190-White	26476	0	0	0	33.6	180723	0.515844690493186	0.388205128205128	0.994265316870501	0.412008530723306
192-White	29473	0	0	0	41.1	506845	0.508715682309187	0.331336800400438	0.995432224936437	0.418788964290217
194-White	27743	0	0	0	35.8	272412	0.498579357737545	0.30666771930616	0.994004702804553	0.400562189410461
198-White	29656	0	0	0	38.9	1849706	0.507122212935461	0.306304671308277	0.991928855545901	0.436228223621441
204-White	33917	0	0	0	45.5	169101	0.498057373995423	0.296881016557566	0.991049417128133	0.428689223372884
206-White	38593	0	0	0	41.3	3605573	0.510036268853799	0.381365648017796	0.988306918843378	0.474488389725416
209-White	29423	0	0	0	43.1	388759	0.511540568835705	0.247358409302993	0.994173016584491	0.423249797189151
212-White	26873	0	0	0	41.9	873067	0.511933219329101	0.241643961527098	0.994508959861901	0.391501177463007
216-White	40200	0	0	0	40.2	2150293	0.503075162315089	0.475240556285199	0.989732443720607	0.467618141881182
217-White	22979	0	0	0	34.7	66465	0.486150605581885	0.182466110774677	0.99569756303476	0.423740882585016
218-White	31810	0	0	0	37.3	627601	0.507921434159601	0.36222933712795	0.991585047851558	0.481054928299579
220-White	31200	0	0	0	42.6	3676565	0.508366097158625	0.304132558550665	0.970542518515211	0.380788324462084
221-White	26129	0	0	0	44.9	80200	0.505224438902743	0.170097827027963	0.992815016222038	0.392527640106748
222-White	25988	0	0	0	42.1	175983	0.508282049970736	0.213478682324524	0.996073715539789	0.411875779513514
232-White	25391	0	0	0	37.4	192589	0.501300697339931	0.254104607958335	0.994233607479302	0.399926700115005
233-White	42260	0	0	0	41.5	88895	0.478328364924911	0.482922402057177	0.990790456210219	0.464327501292482
236-White	26160	0	0	0	42.9	170301	0.510824951115965	0.20943474993738	0.992975488675147	0.377659957642381
238-White	32862	0	0	0	40.7	175213	0.475061781945404	0.408799184505607	0.975280994343699	0.413350720996286
240-White	25084	0	0	0	42.1	325004	0.51039371823116	0.243886541301042	0.984604269464162	0.382390771857745
244-White	30508	0	0	0	33.6	216878	0.498759671335958	0.341576910253251	0.990811488096701	0.493895740608614
246-White	25267	0	0	0	36.3	222334	0.503877049843929	0.232444713924962	0.993612799505632	0.438772392723233
248-White	25586	0	0	0	40.9	119252	0.509291248784087	0.208270612279864	0.995539791620483	0.403161891754871
258-White	25967	0	0	0	39.8	513945	0.509118680014398	0.229596013269952	0.989371517907313	0.425812938180316
260-White	31285	0	0	0	45.5	356350	0.51585239231093	0.282088736786991	0.982828169810321	0.334243477393285
264-White	27285	0	0	0	37.9	223578	0.506127615418333	0.345575823577457	0.990578066112913	0.355772237393425
266-White	26813	0	0	0	39.5	1135313	0.50680825463991	0.283662174261651	0.992596562616423	0.389650628544661
267-White	29057	0	0	0	42.1	302095	0.504655820189013	0.247187802811495	0.995343976006795	0.436695439930912
268-White	28354	0	0	0	44.2	1064986	0.518071599063274	0.277371449016471	0.994832972133481	0.394591477582415
273-White	25528	0	0	0	42	1005914	0.513545889608853	0.264391418051979	0.992257637934111	0.373724985900702
274-White	28517	0	0	0	37.5	129243	0.519262165068901	0.333772679775815	0.992535494980344	0.390348633240754
276-White	30570	0	0	0	43.4	1023293	0.51105792769031	0.254984137676278	0.991902105082301	0.440216050584921
277-White	25809	0	0	0	40.8	209828	0.519949673065559	0.259841572103098	0.987611079977584	0.390423772315063
278-White	40217	0	0	0	45.3	1065505	0.511864327243889	0.388096276372	0.973972089693957	0.423060885692969
280-White	22447	0	0	0	44.4	338636	0.510435984360789	0.180734823762441	0.997217355776076	0.368302125812214
288-White	43053	0	0	0	42	2499025	0.502528386070567	0.392688072807937	0.985902769815054	0.471106192443781
290-White	30672	0	0	0	42.5	490491	0.507913498922508	0.308446276112495	0.996741522800743	0.409218728148163
292-White	21438	0	0	0	31.5	194997	0.501874387811095	0.261084601720595	0.996962836777693	0.371606268024044
294-White	29243	0	0	0	39.4	1783864	0.510596659835055	0.304971856644528	0.994722970856651	0.430659284960193
296-White	28485	0	0	0	35.4	126798	0.512145301976372	0.386822636737275	0.990628499901179	0.370892364983823
298-White	31210	0	0	0	41.5	320964	0.514886404705824	0.346898977964978	0.994689143128914	0.446242810173172
300-White	30999	0	0	0	42.2	985614	0.50673488810021	0.286732569502471	0.986352203277355	0.41121703076719
304-White	23325	0	0	0	43.9	475888	0.514186111017718	0.206371982874275	0.998539034482759	0.36138432224941
306-White	23255	0	0	0	45.7	204807	0.50592509045101	0.171036154582772	0.994438702943855	0.362424291932642
308-White	22974	0	0	0	38.7	141053	0.51150985799664	0.214416039259275	0.99657596235067	0.397671742209632
309-White	22733	0	0	0	39.9	172450	0.512908089301247	0.198451573469613	0.995018948979718	0.409144673347508
310-White	25472	0	0	0	40.4	424064	0.510267318140658	0.265013466624609	0.993429776224298	0.368784954915878
312-White	32143	0	0	0	39.4	1791243	0.508642322677604	0.358951076333553	0.994326073798389	0.458017749202562
314-White	25375	0	0	0	42.4	961042	0.513822496831564	0.239621396072515	0.995754069017192	0.381868003510478
316-White	23443	0	0	0	42.5	104451	0.507817062546074	0.173759632283358	0.993380231793107	0.353310367608891
318-White	29115	0	0	0	38.8	402377	0.510461582048676	0.210548540102144	0.980914949647333	0.432998106589689
320-White	24486	0	0	0	33.8	195889	0.498966251295376	0.27725120462308	0.994374447153244	0.391672140900584
330-White	27356	0	0	0	39.1	428376	0.512449343567333	0.294770699678353	0.991525215855573	0.365259156953895
332-White	31991	0	0	0	45.6	1123748	0.491426013661426	0.242308974630982	0.984602135625351	0.37098896596559
336-White	27839	0	0	0	38.3	577410	0.514881972948165	0.322845788305982	0.994070751545068	0.404550526469573
338-White	24159	0	0	0	41.1	197344	0.502675531052376	0.175620388002856	0.996876901455472	0.399643226703402
339-White	29190	0	0	0	35.8	282642	0.503173626000382	0.364614890920661	0.988441025139171	0.473943328423129
340-White	28554	0	0	0	40.3	612225	0.509000775858549	0.283282997592774	0.994412034552599	0.44381326836642
346-White	27119	0	0	0	42.3	184123	0.507492274186278	0.199422276170429	0.996572289607021	0.411845967881195
348-White	43759	0	0	0	45.3	5964713	0.501338455010325	0.406531031438477	0.954401884081837	0.379868288861939
350-White	28678	0	0	0	40.9	1169414	0.510754104192356	0.263358570066846	0.993321591740097	0.424383200716657
352-White	30495	0	0	0	35.8	178194	0.51021358743841	0.352225137713521	0.994145989203523	0.423897762722757
356-White	27481	0	0	0	42.1	224683	0.509246360427803	0.253880761365424	0.997979712356249	0.400582546513721
357-White	32528	0	0	0	39.9	712620	0.50747803878645	0.364146474840972	0.993811817060732	0.450383042098928
358-White	25057	0	0	0	26.9	100814	0.481887436268772	0.36277826276735	0.997857410680808	0.452118383888002
359-White	27639	0	0	0	35.6	112849	0.50209572083049	0.295641064807743	0.994832840999672	0.429007453735435
360-White	22581	0	0	0	42.6	198487	0.509922564198159	0.16052120275336	0.989692974275071	0.364052169469768
362-White	20970	0	0	0	42.2	61491	0.514319168658828	0.185791836063262	0.997061235647895	0.33194515381291
365-White	30331	0	0	0	55.9	60808	0.496447835811077	0.289128289128289	0.957986069515513	0.268504633367939
366-White	24916	0	0	0	47.8	243965	0.516365052364069	0.241598306430273	0.994020656695359	0.283389368026117
368-White	34359	0	0	0	42	620039	0.509417955967286	0.340220835943956	0.993874788205945	0.450463209876543
370-White	39143	0	0	0	49.9	2373339	0.508149067621608	0.369684337952959	0.961971105023392	0.364405763861335
372-White	40868	0	0	0	41	132414	0.507703112963886	0.278460226060994	0.992382299292068	0.491765905194384
376-White	33621	0	0	0	43.2	1457766	0.509078274565328	0.342533929352555	0.989245482179628	0.437873238331592
378-White	37039	0	0	0	40.5	2974488	0.50711214837646	0.395287757106113	0.991730832790487	0.468081019622908
380-White	27644	0	0	0	42.4	400916	0.512760777818795	0.270562526831397	0.994354694045521	0.394169473639002
382-White	28400	0	0	0	43.5	316926	0.513201819983214	0.205402701789639	0.96602077228236	0.335280444822557
384-White	25713	0	0	0	40	145615	0.512460941523881	0.264918362220548	0.995966921489405	0.412625692678244
390-White	24934	0	0	0	36.2	174579	0.498496382726445	0.278445899682228	0.99658614554118	0.390476900250002
393-White	24386	0	0	0	42.9	58654	0.501534422204794	0.1910502904645	0.991394148020654	0.367340038880906
394-White	19859	0	0	0	32.6	97823	0.507907138403034	0.218693111877806	0.995208489655912	0.30291506703322
396-White	27290	0	0	0	49	346620	0.515792510530264	0.259085624414453	0.991320741079818	0.314073320921275
400-White	30563	0	0	0	39.4	1376662	0.511803914105278	0.318493179284399	0.99160352684229	0.442472014724173
404-White	28505	0	0	0	45	144942	0.501876612714051	0.243713363756134	0.996953502744756	0.382807678699262
406-White	32342	0	0	0	41.9	803979	0.509014538936962	0.303782901547253	0.992936266274674	0.426889358355007
408-White	46601	0	0	0	43.9	12069715	0.513356777686963	0.443764172335601	0.944684770156514	0.421993740683883
412-White	32285	0	0	0	56.2	724152	0.52135463272904	0.292491973535965	0.983729478348491	0.286500900833505
416-White	30809	0	0	0	39.8	916120	0.510420032310178	0.306946982692137	0.996362146414637	0.451124166202797
420-White	32021	0	0	0	38.5	723779	0.508568223173096	0.347139044526081	0.993640027002249	0.490065789473684
422-White	29654	0	0	0	46.3	1672800	0.508490554758489	0.298794829383025	0.985075045745911	0.367454966357888
424-White	24206	0	0	0	44	118134	0.51878375404202	0.189811077966895	0.995968643014847	0.365443282764041
425-White	23465	0	0	0	43.3	147300	0.514338085539715	0.164906410122347	0.99868828487872	0.363854882425589
426-White	29408	0	0	0	41.8	352101	0.509955950139307	0.254070534478875	0.995590539812974	0.417438957005868
428-White	37401	0	0	0	43.2	4589896	0.513933213301565	0.364009234372089	0.982321651062536	0.419470442666197
430-White	30235	0	0	0	44.8	2323409	0.515010056343933	0.296343309688363	0.991884949076331	0.405364488905659
438-White	31101	0	0	0	43.7	580346	0.514050238995358	0.337771568683355	0.989060086318234	0.42069844221116
440-White	31547	0	0	0	41.1	2267516	0.508806553073936	0.342365660233663	0.983086573604769	0.379484194687803
444-White	25520	0	0	0	46.8	121911	0.500545479899271	0.249109576994108	0.994987404246568	0.333077774111527
446-White	23020	0	0	0	27	71496	0.489314087501399	0.463736552086067	0.993696089812352	0.307448468691072
448-White	22958	0	0	0	42	107647	0.512917220173344	0.194489834186065	0.995985243055556	0.419224388220655
450-White	35795	0	0	0	40	1198517	0.512187144612884	0.460945938872525	0.99298118764301	0.450487982221676
452-White	28812	0	0	0	41.5	137440	0.497715366705471	0.274912668719899	0.996857332121455	0.453073774123235
454-White	24408	0	0	0	46.1	190421	0.51056343575551	0.174266268140732	0.994428246416186	0.2854588158251
456-White	33044	0	0	0	45.8	399400	0.496209313970956	0.295555510682121	0.992419657011097	0.375230169971671
462-White	33063	0	0	0	41.3	213877	0.510410189033884	0.316235109446813	0.992526865917028	0.46631918474196
464-White	30418	0	0	0	43.5	928868	0.512078142427126	0.33375	0.986498295210784	0.407624720313995
466-White	28257	0	0	0	44.4	336067	0.512445434987666	0.224304867469483	0.98992322006599	0.392838874680307
468-White	27057	0	0	0	47.4	140448	0.516447368421053	0.212968812819482	0.995218197662727	0.393753134909502
470-White	21296	0	0	0	42.6	90542	0.517803892116366	0.173315470092206	0.996651435348286	0.339034434651965
472-White	34734	0	0	0	44	1374646	0.511789944465702	0.337361648169913	0.969099888890246	0.355243389227249
474-White	25859	0	0	0	43.6	313304	0.511595766412175	0.225885275154906	0.994256338122509	0.349029250075387
476-White	32331	0	0	0	41.5	2184650	0.509769070560502	0.328701456271456	0.990284622376587	0.435103949969635
482-White	27141	0	0	0	31.2	1852657	0.499270507168893	0.344811083510091	0.991809072093724	0.427143653786889
488-White	53615	0	0	0	45.8	3473636	0.500764616672559	0.4964832659704	0.971920814669035	0.403991464943179
496-White	28488	0	0	0	36.3	288558	0.50217980440674	0.321481435315748	0.995442787611762	0.418755422018155
500-White	38424	0	0	0	42	3044815	0.501123056737437	0.377791445280046	0.981858620060084	0.421287487266254
512-White	26954	0	0	0	40.1	144406	0.509722587704112	0.240328864619444	0.997369581190301	0.450842166649515
515-White	25368	0	0	0	42.2	557122	0.511785569408496	0.238484000987086	0.987588134119532	0.386700116603654
518-White	26135	0	0	0	40.7	590801	0.505264886146097	0.268050439980239	0.986462247499861	0.358422894198209
520-White	23249	0	0	0	39.4	482307	0.513187658483082	0.24510297567146	0.989124716892676	0.378272422354837
521-White	31498	0	0	0	44.3	510929	0.519958741821271	0.32949468356666	0.975313320741415	0.380432518307744
522-White	29933	0	0	0	42.9	267578	0.517034285329885	0.281286586385683	0.995895709222235	0.430451411259921
524-White	25275	0	0	0	37.5	211904	0.490552325581395	0.292074316745039	0.992418375450729	0.360441666943678
532-White	29088	0	0	0	42.5	622506	0.511680208704816	0.291960216450415	0.988269215511173	0.402128225488616
533-White	30366	0	0	0	38.7	225547	0.507193622615242	0.413598626591022	0.996422182468694	0.413503288877848
534-White	27270	0	0	0	41.2	499361	0.511882185432983	0.256265192605472	0.994139215777282	0.3857195873588
536-White	32919	0	0	0	48.9	545147	0.507516321285818	0.380806725868932	0.990027319794433	0.339253824585464
538-White	30074	0	0	0	42.5	743150	0.51250891475476	0.282728155303414	0.996035501445124	0.435568608522788
540-White	29990	0	0	0	42.8	163582	0.51767920675869	0.284407370218755	0.99599775719727	0.398572884811417
544-White	33554	0	0	0	47	56133	0.511713252453993	0.221098712854798	0.995997231730356	0.443995686282802
545-White	33941	0	0	0	40.4	1036906	0.498330610489283	0.328295918815622	0.99253208392748	0.467850023796696
546-White	28678	0	0	0	42.8	193708	0.498348028992091	0.220228771788645	0.982776856980852	0.371961881447806
548-White	48694	0	0	0	41.4	5026589	0.507643453642221	0.492693013599586	0.984088929421064	0.489963460557933
554-White	27065	0	0	0	42.9	282916	0.502435351835881	0.218350427135045	0.995888133369121	0.416039463197122
556-White	28378	0	0	0	39.7	496758	0.506850418111032	0.304936074652376	0.994598012840438	0.447117238598127
558-White	23770	0	0	0	42	144836	0.508727112043967	0.18502308532054	0.991297767688233	0.394109280254194
566-White	24405	0	0	0	45.3	569655	0.512775276263703	0.194015039850521	0.990720034749255	0.358844339373281
