Stat ID	Income	Asian	Black	Latino	Age	Female	College	Good English	Full-time Job
278-Asian	34125	1	0	0	32.3	0.514724955	0.574832797	0.677012493	0.47058103
288-Asian	32711	1	0	0	35.8	0.510840471	0.538281584	0.648042674	0.471211185
288-Asian	32711	1	0	0	35.8	0.510840471	0.538281584	0.648042674	0.471211185
294-Asian	31032	1	0	0	33.1	0.516734458	0.587816654	0.646924778	0.454968944
294-Asian	31032	1	0	0	33.1	0.516734458	0.587816654	0.646924778	0.454968944
300-Asian	31860	1	0	0	37.7	0.53393921	0.457075645	0.690792586	0.459631658
300-Asian	31860	1	0	0	37.7	0.53393921	0.457075645	0.690792586	0.459631658
312-Asian	28889	1	0	0	32.1	0.518428658	0.515576628	0.657578852	0.459499908
312-Asian	28889	1	0	0	32.1	0.518428658	0.515576628	0.657578852	0.459499908
330-Asian	19596	1	0	0	27	0.522536831	0.587169043	0.498301376	0.290339563
330-Asian	19596	1	0	0	27	0.522536831	0.587169043	0.498301376	0.290339563
332-Asian	26279	1	0	0	40	0.548873173	0.352576947	0.690631433	0.428139223
332-Asian	26279	1	0	0	40	0.548873173	0.352576947	0.690631433	0.428139223
348-Asian	30681	1	0	0	39.9	0.530345471	0.49641904	0.611758687	0.406868398
348-Asian	30681	1	0	0	39.9	0.530345471	0.49641904	0.611758687	0.406868398
350-Asian	29535	1	0	0	32.3	0.527154688	0.535626698	0.660271639	0.445585445
350-Asian	29535	1	0	0	32.3	0.527154688	0.535626698	0.660271639	0.445585445
357-Asian	25460	1	0	0	27.9	0.514482855	0.598421745	0.669121813	0.38040333
357-Asian	25460	1	0	0	27.9	0.514482855	0.598421745	0.669121813	0.38040333
368-Asian	30986	1	0	0	34.8	0.528466657	0.501101508	0.636988251	0.446945496
368-Asian	30986	1	0	0	34.8	0.528466657	0.501101508	0.636988251	0.446945496
370-Asian	30169	1	0	0	37.9	0.529887531	0.487397469	0.706916437	0.442704512
370-Asian	30169	1	0	0	37.9	0.529887531	0.487397469	0.706916437	0.442704512
376-Asian	28631	1	0	0	29.8	0.515863667	0.502065449	0.666519953	0.418760469
376-Asian	28631	1	0	0	29.8	0.515863667	0.502065449	0.666519953	0.418760469
378-Asian	24701	1	0	0	28.3	0.514040023	0.436066324	0.645141089	0.450294396
378-Asian	24701	1	0	0	28.3	0.514040023	0.436066324	0.645141089	0.450294396
382-Asian	20571	1	0	0	31	0.520304622	0.286518633	0.648053035	0.326654741
382-Asian	20571	1	0	0	31	0.520304622	0.286518633	0.648053035	0.326654741
400-Asian	29413	1	0	0	32.7	0.523125759	0.498781324	0.657699172	0.481033376
400-Asian	29413	1	0	0	32.7	0.523125759	0.498781324	0.657699172	0.481033376
406-Asian	23072	1	0	0	34.9	0.518394087	0.355559246	0.591658207	0.398279388
406-Asian	23072	1	0	0	34.9	0.518394087	0.355559246	0.591658207	0.398279388
408-Asian	34706	1	0	0	36.3	0.518124991	0.537443652	0.610836939	0.450305566
408-Asian	34706	1	0	0	36.3	0.518124991	0.537443652	0.610836939	0.450305566
416-Asian	23290	1	0	0	33.6	0.533490529	0.410668048	0.604020184	0.432837257
416-Asian	23290	1	0	0	33.6	0.533490529	0.410668048	0.604020184	0.432837257
420-Asian	25263	1	0	0	30.9	0.528549081	0.509660534	0.588607595	0.459580933
420-Asian	25263	1	0	0	30.9	0.528549081	0.509660534	0.588607595	0.459580933
422-Asian	25940	1	0	0	36.2	0.534245647	0.470824776	0.72512833	0.416020175
422-Asian	25940	1	0	0	36.2	0.534245647	0.470824776	0.72512833	0.416020175
428-Asian	30219	1	0	0	34.3	0.520387122	0.520073494	0.612876522	0.434935412
428-Asian	30219	1	0	0	34.3	0.520387122	0.520073494	0.612876522	0.434935412
430-Asian	36771	1	0	0	31.4	0.51007522	0.705093217	0.655707906	0.423213528
430-Asian	36771	1	0	0	31.4	0.51007522	0.705093217	0.655707906	0.423213528
440-Asian	28340	1	0	0	36.3	0.540251589	0.442705471	0.644594388	0.41408023
440-Asian	28340	1	0	0	36.3	0.540251589	0.442705471	0.644594388	0.41408023
450-Asian	34062	1	0	0	33.2	0.513120671	0.681274602	0.723054774	0.491541161
450-Asian	34062	1	0	0	33.2	0.513120671	0.681274602	0.723054774	0.491541161
456-Asian	24041	1	0	0	38.7	0.536932265	0.376378754	0.666082311	0.42951007
456-Asian	24041	1	0	0	38.7	0.536932265	0.376378754	0.666082311	0.42951007
464-Asian	25801	1	0	0	30	0.522978036	0.529295886	0.645220521	0.409682207
464-Asian	25801	1	0	0	30	0.522978036	0.529295886	0.645220521	0.409682207
472-Asian	24756	1	0	0	34.3	0.523072623	0.386120518	0.652312564	0.35930231
472-Asian	24756	1	0	0	34.3	0.523072623	0.386120518	0.652312564	0.35930231
476-Asian	31249	1	0	0	33.8	0.526531195	0.626823983	0.6843882	0.43903423
476-Asian	31249	1	0	0	33.8	0.526531195	0.626823983	0.6843882	0.43903423
482-Asian	24681	1	0	0	32.6	0.542768691	0.474889135	0.669023828	0.427766554
482-Asian	24681	1	0	0	32.6	0.542768691	0.474889135	0.669023828	0.427766554
488-Asian	38537	1	0	0	38.4	0.524018658	0.523388018	0.652944157	0.431036533
488-Asian	38537	1	0	0	38.4	0.524018658	0.523388018	0.652944157	0.431036533
500-Asian	32313	1	0	0	36.3	0.536485324	0.466694263	0.651305412	0.440704112
500-Asian	32313	1	0	0	36.3	0.536485324	0.466694263	0.651305412	0.440704112
532-Asian	22387	1	0	0	26.9	0.51943128	0.531012795	0.608967011	0.315060055
532-Asian	22387	1	0	0	26.9	0.51943128	0.531012795	0.608967011	0.315060055
536-Asian	23994	1	0	0	33.4	0.543220434	0.461246423	0.720014097	0.357972358
536-Asian	23994	1	0	0	33.4	0.543220434	0.461246423	0.720014097	0.357972358
538-Asian	24418	1	0	0	32.6	0.524869042	0.394649108	0.605656862	0.462572899
538-Asian	24418	1	0	0	32.6	0.524869042	0.394649108	0.605656862	0.462572899
545-Asian	27452	1	0	0	37.9	0.543266687	0.435067795	0.727855576	0.45837242
545-Asian	27452	1	0	0	37.9	0.543266687	0.435067795	0.727855576	0.45837242
548-Asian	39501	1	0	0	36	0.528441205	0.615534756	0.690850011	0.506022761
548-Asian	39501	1	0	0	36	0.528441205	0.615534756	0.690850011	0.506022761
556-Asian	21827	1	0	0	32.6	0.513776866	0.300253348	0.594241352	0.416341492
556-Asian	21827	1	0	0	32.6	0.513776866	0.300253348	0.594241352	0.416341492
